rounds;hashValues;maxHashValues;leafValues;maxLeafValues
1244;2;5;1;2
1245;0;5;2;2
1246;1;5;1;2
1247;0;5;2;2
1248;4;5;1;2
1249;0;5;2;2
1250;1;5;1;2
1251;0;5;2;2
1252;2;5;1;2
1253;0;5;2;2
1254;1;5;1;2
1255;0;5;2;2
1256;3;5;1;2
1257;0;5;2;2
1258;1;5;1;2
1259;0;5;2;2
1260;2;5;1;2
1261;0;5;2;2
1262;1;5;1;2
1263;0;5;2;2
1264;4;5;1;2
1265;0;5;2;2
1266;1;5;1;2
1267;0;5;2;2
1268;2;5;1;2
1269;0;5;2;2
1270;1;5;1;2
1271;0;5;2;2
1272;3;5;1;2
1273;0;5;2;2
1274;1;5;1;2
1275;0;5;2;2
1276;2;5;1;2
1277;0;5;2;2
1278;1;5;1;2
1279;0;5;2;2
1280;5;5;1;2
1281;0;5;1;2
1282;0;5;1;2
1283;0;5;2;2
1284;1;5;1;2
1285;0;5;2;2
1286;1;5;1;2
1287;0;5;2;2
1288;2;5;1;2
1289;0;5;2;2
1290;1;5;1;2
1291;0;5;2;2
1292;2;5;1;2
1293;0;5;2;2
1294;1;5;1;2
1295;0;5;2;2
1296;3;5;1;2
1297;0;5;2;2
1298;1;5;1;2
1299;0;5;2;2
1300;2;5;1;2
1301;0;5;2;2
1302;1;5;1;2
1303;0;5;2;2
1304;3;5;1;2
1305;0;5;2;2
1306;1;5;1;2
1307;0;5;2;2
1308;2;5;1;2
1309;0;5;2;2
1310;1;5;1;2
1311;0;5;2;2
1312;4;5;1;2
1313;0;5;2;2
1314;1;5;1;2
1315;0;5;2;2
1316;2;5;1;2
1317;0;5;2;2
1318;1;5;1;2
1319;0;5;2;2
1320;3;5;1;2
1321;0;5;2;2
1322;1;5;1;2
1323;0;5;2;2
1324;2;5;1;2
1325;0;5;2;2
1326;1;5;1;2
1327;0;5;2;2
1328;4;5;1;2
1329;0;5;2;2
1330;1;5;1;2
1331;0;5;2;2
1332;2;5;1;2
1333;0;5;2;2
1334;1;5;1;2
1335;0;5;2;2
1336;3;5;1;2
1337;0;5;2;2
1338;1;5;1;2
1339;0;5;2;2
1340;2;5;1;2
1341;0;5;2;2
1342;1;5;1;2
1343;0;5;2;2
1344;5;5;1;2
1345;0;5;1;2
1346;0;5;1;2
1347;0;5;2;2
1348;1;5;1;2
1349;0;5;2;2
1350;1;5;1;2
